train_loss,epoch,step,val_loss
72079.9765625,0,49,
40537.23828125,0,99,
,0,117,36758.9140625
34592.96484375,1,149,
33339.6640625,1,199,
,1,235,31831.951171875
32266.359375,2,249,
31389.2109375,2,299,
31060.38671875,2,349,
,2,353,30401.935546875
30201.56640625,3,399,
30154.02734375,3,449,
,3,471,29675.986328125
29836.20703125,4,499,
29969.65234375,4,549,
,4,589,28897.724609375
29329.50390625,5,599,
29704.732421875,5,649,
28252.193359375,5,699,
,5,707,28158.662109375
28150.0,6,749,
27717.23828125,6,799,
,6,825,27395.212890625
27678.26953125,7,849,
26744.611328125,7,899,
,7,943,26826.7265625
27325.05078125,8,949,
26175.083984375,8,999,
26602.3671875,8,1049,
,8,1061,26118.369140625
26518.982421875,9,1099,
25984.041015625,9,1149,
,9,1179,25482.70703125
25466.33203125,10,1199,
25880.494140625,10,1249,
,10,1297,24936.373046875
25826.998046875,11,1299,
24619.99609375,11,1349,
25076.541015625,11,1399,
,11,1415,24525.056640625
25036.513671875,12,1449,
24431.33984375,12,1499,
,12,1533,24167.947265625
23896.080078125,13,1549,
24619.703125,13,1599,
24146.1328125,13,1649,
,13,1651,23855.375
23979.9765625,14,1699,
24621.4140625,14,1749,
,14,1769,23565.19140625
23628.498046875,15,1799,
23252.6796875,15,1849,
,15,1887,23170.73828125
23813.998046875,16,1899,
23722.08203125,16,1949,
23209.845703125,16,1999,
,16,2005,22693.998046875
23157.091796875,17,2049,
22852.740234375,17,2099,
,17,2123,22346.330078125
22949.701171875,18,2149,
22373.62890625,18,2199,
,18,2241,22011.9609375
22515.205078125,19,2249,
22641.279296875,19,2299,
21723.107421875,19,2349,
,19,2359,21708.998046875
22175.376953125,20,2399,
21626.25,20,2449,
,20,2477,21451.716796875
22087.830078125,21,2499,
21999.75,21,2549,
,21,2595,21128.5078125
21042.640625,22,2599,
21718.65625,22,2649,
21541.345703125,22,2699,
,22,2713,20872.58203125
21216.49609375,23,2749,
21101.607421875,23,2799,
,23,2831,20639.072265625
20797.02734375,24,2849,
