train_loss,epoch,step,val_loss
71727.765625,0,49,
39451.12109375,0,99,
,0,117,36377.93359375
34732.984375,1,149,
32372.533203125,1,199,
,1,235,31239.86328125
31013.1328125,2,249,
30500.65234375,2,299,
29910.7890625,2,349,
,2,353,29726.962890625
29346.34375,3,399,
29226.931640625,3,449,
,3,471,28720.640625
28814.845703125,4,499,
28382.634765625,4,549,
,4,589,27376.626953125
28240.060546875,5,599,
27663.33203125,5,649,
26449.080078125,5,699,
,5,707,26446.310546875
26622.205078125,6,749,
26326.57421875,6,799,
,6,825,25658.08984375
26542.10546875,7,849,
25582.015625,7,899,
,7,943,24865.18359375
25043.033203125,8,949,
24696.638671875,8,999,
24752.08984375,8,1049,
,8,1061,24241.1328125
24794.4609375,9,1099,
23797.08984375,9,1149,
,9,1179,23595.388671875
24151.82421875,10,1199,
23502.9765625,10,1249,
,10,1297,23082.625
23079.11328125,11,1299,
23561.240234375,11,1349,
22945.66015625,11,1399,
,11,1415,22587.318359375
22932.1875,12,1449,
22398.33984375,12,1499,
,12,1533,22067.521484375
22455.5625,13,1549,
22266.5390625,13,1599,
22121.919921875,13,1649,
,13,1651,21618.25390625
21525.353515625,14,1699,
21755.169921875,14,1749,
,14,1769,21278.04296875
21644.443359375,15,1799,
21752.658203125,15,1849,
,15,1887,20818.783203125
20923.30078125,16,1899,
21127.775390625,16,1949,
20571.3359375,16,1999,
,16,2005,20438.748046875
20509.330078125,17,2049,
20680.525390625,17,2099,
,17,2123,20068.853515625
20504.919921875,18,2149,
19906.6328125,18,2199,
,18,2241,19741.40234375
20291.1953125,19,2249,
20159.125,19,2299,
19873.9765625,19,2349,
,19,2359,19466.9609375
19638.33203125,20,2399,
19873.30078125,20,2449,
,20,2477,19181.236328125
19426.08203125,21,2499,
20083.38671875,21,2549,
,21,2595,18956.439453125
19167.18359375,22,2599,
19319.619140625,22,2649,
19098.31640625,22,2699,
,22,2713,18713.734375
18891.359375,23,2749,
18934.60546875,23,2799,
,23,2831,18498.0234375
19251.451171875,24,2849,
18464.9609375,24,2899,
3565.328857421875,24,2949,
,24,2949,18371.578125
18971.91015625,25,2999,
18302.4296875,25,3049,
,25,3067,18160.39453125
18325.546875,26,3099,
18186.376953125,26,3149,
,26,3185,18015.587890625
18477.494140625,27,3199,
18484.798828125,27,3249,
18102.48046875,27,3299,
,27,3303,17869.916015625
17966.009765625,28,3349,
18073.18359375,28,3399,
,28,3421,17775.9609375
18457.96484375,29,3449,
18284.19140625,29,3499,
,29,3539,17628.857421875
18216.7421875,30,3549,
17815.515625,30,3599,
18081.515625,30,3649,
,30,3657,17524.80078125
17853.271484375,31,3699,
17548.1640625,31,3749,
,31,3775,17403.775390625
17779.8046875,32,3799,
17721.75390625,32,3849,
,32,3893,17312.5
17723.66015625,33,3899,
17394.501953125,33,3949,
17476.189453125,33,3999,
,33,4011,17213.392578125
17184.287109375,34,4049,
17124.8046875,34,4099,
,34,4129,17148.580078125
17822.29296875,35,4149,
17234.0859375,35,4199,
,35,4247,17091.400390625
17138.37109375,36,4249,
17508.296875,36,4299,
17870.408203125,36,4349,
,36,4365,16983.681640625
17588.080078125,37,4399,
17362.12890625,37,4449,
,37,4483,16941.349609375
17000.52734375,38,4499,
17000.251953125,38,4549,
17136.3359375,38,4599,
,38,4601,16866.4921875
17522.96484375,39,4649,
16855.892578125,39,4699,
,39,4719,16784.361328125
17425.41796875,40,4749,
17382.32421875,40,4799,
,40,4837,16744.271484375
16976.87109375,41,4849,
